,Company,Product,Size,Currency,Prices
1037,Americana ,Jumbo Beef Burger,1Kg,SAR,28.95
1038,Americana ,Hot Chicken Strips,750G,SAR,28.9
1039,Americana ,Minced Beef,400G,SAR,6.85
1040,Baskin Robins ,Pralines 'N Cream Ice Cream,1L,SAR,41.95
1041,Nada ,Junior Long Life Chocolate Milk,18 x 125 Ml,SAR,10.95
1042,Bonny ,Full Cream Evaporated Milk,170  Ml,SAR,2.75
1043,Nando's ,NANDOS PERI GARLIC SAUCE,250ml,SAR,17.5
1044,Nando's ,NANDOS PERI PERI HOT SAUCE,250ml,SAR,17.5
1045,California Garden ,Grape Leaves,1000G,SAR,24.95
1046,Cheetos ,Crunchy Flamin hot,200G,SAR,7.85
1047,BUTLER ,Frozen French Fries,2.5Kg,SAR,19.5
1048,COLD ALEX ,Frozen Minced Moloukhia,400G,SAR,5.75
1049,CHTOURA ,Hommos Tahini,380G,SAR,3.95
1050,Nando's ,NANDOS PERI PERI LEMON&HERBS SAUCE,250ml,SAR,17.5
1051,DANYA ,White Grape Juice,12 x 1L,SAR,86.25
1052,Nescafe ,Arabiana Saffron Coffee,3G,SAR,1.95
1053,Nescafe ,Gold Rich & Smooth Instant Coffee,200G,SAR,39.95
1054,Nando's ,NANDOS PERI PERI SAUCE,250ml,SAR,17.5
1055,Nescafe ,Red Mug Instant Coffee,200G,SAR,31.75
1056,Nando's ,NANDOS PERI PERI XX HOT SAUCE,250ml,SAR,17.5
1057,Nestlé ,Nestle Fitness Chocolate Bars,23.5G,SAR,3.15
1058,Nestlé ,Fitness Chocolate Bars,23.5G,SAR,17.5
1059,Nestlé ,Chocapic Cereal,375G,SAR,18.95
1060,DOUX ,Chicken Franks Garlic,400G,SAR,5.95
1061,DOUX ,Chicken Franks Cheese,400G,SAR,5.95
1062,DOUX ,Chicken Franks Arabic Spices,400G,SAR,7.25
1063,Nestlé ,Nesquick Duo Cereals,335G,SAR,19.95
1064,Nestlé ,Cookie Crisp Cereal,375G,SAR,23.9
1065,DOUX ,Chicken Franks Hot & Spicy,400G,SAR,5.95
1066,DOUX ,Chicken Franks,3 x 340G,SAR,12.55
1067,Nova ,Drinking Water,40 x 0.33L,SAR,17.95
1068,OSRA ,Fine Sugar,10Kg,SAR,23.95
1069,Pringles ,Original Chips,165G,SAR,10.95
1070,PEEP ,Pineapple Broken Slices,565G,SAR,3.7
1071,Almarai ,Mango Juice,1.5L,SAR,6.0
1072,Almarai ,Lemon & mint With Pulp Juice,1.5L,SAR,6.0
1073,Almarai ,Natural Apple Juice,1.5L,SAR,9.5
1074,Almarai ,Alphonso Mango With Pulp Juice,1.5L,SAR,9.5
1075,Almarai ,Mixed Apple Drink,1.5L,SAR,7.5
1076,Almarai ,Natural Orange With Pulp Juice,1.5L,SAR,9.5
1077,Almarai ,Orange Natural Juice,1.5L,SAR,9.5
1078,Almarai ,Mixed Orange Juice,1.5L,SAR,6.0
1079,Almarai ,Mixed Berry Juice,1.5L,SAR,6.0
1080,Almarai ,Mango Mixed Fruit Juice,1.5L,SAR,6.0
1081,Almarai ,Extra Virgin Olive Oil,500 Ml,SAR,21.5
1082,Lusine ,Squares Brown Sandwich Bread,6 Sandwiches,SAR,3.0
1083,Al Safi ,Safio Vanilla Milk,18 × 200Ml,SAR,28.35
1084,Al Safi ,Safio Long Life Chocolate Milk,18 x 200 Ml,SAR,28.35
1085,Al Safi ,Safio Banana Milk,18 × 200Ml,SAR,28.35
1086,Almarai ,Natural Grape Juice No Added Sugar,1.5L,SAR,9.5
1087,Demerara ,Natural Brown Sugar,500G,SAR,11.45
1088,Thouq ,Arabic Coffee,250G,SAR,18.95
1089,Tamara ,Ajwa Al Madina Dates,500G,SAR,28.5
1090,Alyoum ,Premium Frozen chicken,1000G,SAR,17.6
1091,Leeza ,Blend Vegetable Oil,1.8L,SAR,13.75
1092,Loacker ,Tortina White Chocolate,125G,SAR,20.5
1093,Loacker ,Tortina Original Chocolate,125G,SAR,20.5
1094,Loacker ,Tortina Dark Chocolate,125G,SAR,20.5
1095,Ragu ,Roasted Garlic Parmesan,16Z,SAR,16.95
1096,Gatorade ,Fruit Punch,32Z,SAR,12.95
1097,Twix ,Miniatures,150G,SAR,8.95
1098,Bounty ,Miniatures Coconut Chocolate,150G,SAR,8.95
1099,Snickers ,Miniatures,150G,SAR,8.95
1100,Maxwell House ,French Roast Coffee Dark,11Z,SAR,34.95
1101,Maxwell House ,Original Roast Coffee Medium,11.5Z,SAR,34.95
1102,Florida's Natural ,Premium Orange Pineapple Juice,900Ml,SAR,10.75
1103,Americana ,Chicken Nuggets With Cheese,400G,SAR,16.5
1104,Brooke Bond ,Red Label Strong Tea bags,100 x 2G,SAR,12.75
1105,Mars ,Miniatures,150G,SAR,8.95
1106,Mrs Dash ,Original Seasoning Blend Salt-Free,2.5Z,SAR,22.95
1107,Frito Lay ,Original Corn Chips,11Z,SAR,16.95
1108,Frito Lay ,French onion dip,8.5Z,SAR,13.95
1109,Frito Lay ,Cheetos Crunchy Flaming hot,8Z,SAR,15.95
1110,Frito Lay ,Pretzels Thins,10Z,SAR,16.95
1111,Ruffles ,Cheddar With Sour Cream,6.5Z,SAR,14.95
1112,Frito Lay ,Ruffles Reduced Fat,6.5Z,SAR,16.95
1113,Frito Lay ,Cool ranch chips,11Z,SAR,19.95
1114,Yergat ,California Grape Leaves,454G,SAR,22.75
